K,X,Y,Z,U,V,W,X,Y,Z,uu,uv,uw,vv,vw,ww,U_ref,K-dim,uw-dim
0.02342,0.79591,0.5,8.7768,0.016805,-0.040155,1.0314,0.79591,0.5,8.7768,0.015829,0.0062562,0.0035793,0.012784,0.0030751,0.018227,,0.648753463,0.099149584
0.024197,0.80416,0.5,8.7768,0.01686,-0.042419,1.0264,0.80416,0.5,8.7768,0.016314,0.0068946,0.004097,0.013823,0.0038428,0.018256,,0.670277008,0.113490305
0.025305,0.81242,0.5,8.7768,0.01676,-0.045035,1.0206,0.81242,0.5,8.7768,0.016875,0.0073613,0.0049103,0.014868,0.0046332,0.018867,,0.700969529,0.136019391
0.026618,0.82068,0.5,8.7768,0.016004,-0.047011,1.014,0.82068,0.5,8.7768,0.017593,0.0077201,0.0057185,0.015851,0.0050684,0.019791,,0.73734072,0.158407202
0.028181,0.82893,0.5,8.7768,0.014681,-0.047951,1.0076,0.82893,0.5,8.7768,0.018514,0.0081517,0.00634,0.016867,0.005085,0.020981,,0.780637119,0.175623269
0.0031847,0.030909,0.5,8.7909,0.0032367,0.018029,0.80885,0.030909,0.5,8.7909,0.00025174,-8.37E-05,-0.00037067,0.0015925,2.29E-05,0.0045251,,0.088218837,-0.010267867
0.0045461,0.066184,0.5,8.7909,0.005832,0.014203,0.93745,0.066184,0.5,8.7909,0.00065127,-0.00010442,-0.00068016,0.0020153,5.55E-05,0.0064256,,0.125930748,-0.018840997
0.0045231,0.10006,0.5,8.7909,0.007108,0.0066161,0.97997,0.10006,0.5,8.7909,0.0008928,-3.99E-05,-0.00052827,0.0019853,-1.55E-05,0.006168,,0.125293629,-0.014633518
0.0035119,0.13258,0.5,8.7909,0.0093944,0.001522,1.0017,0.13258,0.5,8.7909,0.0009779,1.98E-05,-0.00029512,0.0017391,-0.00022036,0.0043068,,0.097282548,-0.008175069
0.0036165,0.16379,0.5,8.7909,0.012716,-0.0057261,1.0164,0.16379,0.5,8.7909,0.0010522,8.99E-05,-0.00032893,0.0014467,-0.00022861,0.004734,,0.100180055,-0.009111634
0.0035979,0.19372,0.5,8.7909,0.014543,-0.009883,1.0349,0.19372,0.5,8.7909,0.0012103,0.00013798,-0.00037527,0.0013126,-0.00023173,0.004673,,0.09966482,-0.010395291
0.003126,0.22242,0.5,8.7909,0.01297,-0.012141,1.056,0.22242,0.5,8.7909,0.0014127,0.0002485,-0.00037287,0.0014331,-0.00037302,0.0034062,,0.086592798,-0.010328809
0.0030793,0.24993,0.5,8.7909,0.0092697,-0.014091,1.0651,0.24993,0.5,8.7909,0.0015626,0.00042869,-0.00046675,0.0016471,-0.00059497,0.0029488,,0.085299169,-0.012929363
0.0030828,0.27629,0.5,8.7909,0.006101,-0.014567,1.0716,0.27629,0.5,8.7909,0.0016748,0.00048472,-0.00053298,0.0016818,-0.00074907,0.002809,,0.085396122,-0.014763989
0.0032598,0.30154,0.5,8.7909,0.0039575,-0.016096,1.072,0.30154,0.5,8.7909,0.0018599,0.00048607,-0.00052242,0.0016257,-0.00085837,0.003034,,0.090299169,-0.014471468
0.003418,0.32572,0.5,8.7909,0.0026871,-0.016552,1.0714,0.32572,0.5,8.7909,0.0021695,0.00051782,-0.0004236,0.0016369,-0.00088872,0.0030295,,0.09468144,-0.011734072
0.0036129,0.34887,0.5,8.7909,0.0020308,-0.015261,1.072,0.34887,0.5,8.7909,0.0025131,0.0005194,-0.00024515,0.0017296,-0.00083306,0.0029831,,0.100080332,-0.006790859
0.0040096,0.37102,0.5,8.7909,0.0015047,-0.013828,1.0718,0.37102,0.5,8.7909,0.0027988,0.00045175,-0.00016622,0.0019196,-0.00099353,0.0033008,,0.111069252,-0.004604432
0.0043547,0.39221,0.5,8.7909,0.0013282,-0.012748,1.07,0.39221,0.5,8.7909,0.0029948,0.00037543,-0.00023328,0.0022146,-0.0012164,0.0035,,0.120628809,-0.00646205
0.0046131,0.41248,0.5,8.7909,0.0017868,-0.012445,1.0682,0.41248,0.5,8.7909,0.0031056,0.00037782,-0.00036592,0.0024238,-0.0013568,0.0036967,,0.127786704,-0.010136288
0.0047535,0.43187,0.5,8.7909,0.0026796,-0.012753,1.0661,0.43187,0.5,8.7909,0.0031737,0.00037685,-0.00033924,0.0025019,-0.0012546,0.0038313,,0.1316759,-0.00939723
0.0050101,0.4504,0.5,8.7909,0.0038516,-0.012807,1.0637,0.4504,0.5,8.7909,0.0032023,0.00031373,-0.00023815,0.0027127,-0.0011739,0.0041051,,0.138783934,-0.006596953
0.0053309,0.46812,0.5,8.7909,0.0052366,-0.011603,1.0608,0.46812,0.5,8.7909,0.0031801,0.00026541,-0.000203,0.0029636,-0.0012295,0.0045182,,0.14767036,-0.005623269
0.0054572,0.48504,0.5,8.7909,0.0065314,-0.010529,1.0569,0.48504,0.5,8.7909,0.0031606,0.00027023,-0.0001198,0.0030864,-0.0013073,0.0046673,,0.151168975,-0.00331856
0.0057857,0.50122,0.5,8.7909,0.007328,-0.010135,1.0547,0.50122,0.5,8.7909,0.0032022,0.00026829,4.66E-05,0.0032246,-0.0014691,0.0051445,,0.160268698,0.001290859
0.0062837,0.51667,0.5,8.7909,0.007655,-0.0099105,1.0526,0.51667,0.5,8.7909,0.0033083,0.00026356,0.00013666,0.0034971,-0.0015684,0.0057621,,0.174063712,0.003785596
0.0069846,0.53142,0.5,8.7909,0.0078916,-0.0097987,1.0505,0.53142,0.5,8.7909,0.0034941,0.00030532,0.00020876,0.0039269,-0.0017481,0.0065482,,0.193479224,0.005782825
0.0078097,0.54551,0.5,8.7909,0.0080363,-0.0092832,1.0485,0.54551,0.5,8.7909,0.0037618,0.00036834,0.00035729,0.0043944,-0.0020956,0.0074632,,0.21633518,0.00989723
0.0084008,0.55896,0.5,8.7909,0.0080767,-0.0093007,1.0484,0.55896,0.5,8.7909,0.0040622,0.00037944,0.00047182,0.0047349,-0.0024012,0.0080045,,0.232709141,0.013069806
0.0087554,0.5718,0.5,8.7909,0.0085787,-0.010207,1.0504,0.5718,0.5,8.7909,0.0043569,0.00031913,0.00050223,0.0049203,-0.0026631,0.0082336,,0.242531856,0.013912188
0.0090064,0.58405,0.5,8.7909,0.0099018,-0.01185,1.0526,0.58405,0.5,8.7909,0.0045835,0.00029395,0.00054024,0.0049696,-0.0027848,0.0084596,,0.249484765,0.014965097
0.0091461,0.59575,0.5,8.7909,0.011631,-0.014603,1.0546,0.59575,0.5,8.7909,0.0047205,0.00044302,0.00053192,0.0050444,-0.0026805,0.0085274,,0.253354571,0.014734626
0.0093107,0.6069,0.5,8.7909,0.013436,-0.017392,1.0562,0.6069,0.5,8.7909,0.0048392,0.00063651,0.00034436,0.0052035,-0.0025964,0.0085787,,0.257914127,0.009539058
0.009605,0.61755,0.5,8.7909,0.015404,-0.01969,1.057,0.61755,0.5,8.7909,0.0050156,0.00072902,0.00015805,0.0053882,-0.0025493,0.0088063,,0.266066482,0.004378116
